=== RUN_FILE_CREATED ts=2026-04-22T10:01:55Z ===
2026-04-22T10:02:05.766718Z  INFO elementx: [CALL-END-TRACE][CANARY-APP-LAUNCH] local_trace_id=app_launch room_id=n/a widget_id=n/a callkit_id=n/a | AppCoordinator.swift:162 | spans: root
2026-04-22T10:03:41.916831Z  INFO elementx: [CALL-END-TRACE][SENDER-BRIDGE-ENTRY] method=ElementCallWidgetDriver.handleMessage room_id=!jFGCYbgmpjrPGtgDqt:mertis.kz widget_id=CA3D32EC-D1D2-4D6C-8BA1-AC6A8723E577 | ElementCallWidgetDriver.swift:180 | spans: root
2026-04-22T10:03:42.221482Z  INFO elementx: [CALL-END-TRACE][SENDER-BRIDGE-ENTRY] method=ElementCallWidgetDriver.handleMessage room_id=!jFGCYbgmpjrPGtgDqt:mertis.kz widget_id=CA3D32EC-D1D2-4D6C-8BA1-AC6A8723E577 | ElementCallWidgetDriver.swift:180 | spans: root
2026-04-22T10:03:42.239388Z  INFO elementx: [CALL-END-TRACE][SENDER-BRIDGE-ENTRY] method=ElementCallWidgetDriver.handleMessage room_id=!jFGCYbgmpjrPGtgDqt:mertis.kz widget_id=CA3D32EC-D1D2-4D6C-8BA1-AC6A8723E577 | ElementCallWidgetDriver.swift:180 | spans: root
2026-04-22T10:03:42.240490Z  INFO elementx: [CALL-END-TRACE][SENDER-BRIDGE-ENTRY] method=ElementCallWidgetDriver.handleMessage room_id=!jFGCYbgmpjrPGtgDqt:mertis.kz widget_id=CA3D32EC-D1D2-4D6C-8BA1-AC6A8723E577 | ElementCallWidgetDriver.swift:180 | spans: root
2026-04-22T10:03:43.088538Z  INFO elementx: [CALL-END-TRACE][SENDER-BRIDGE-ENTRY] method=ElementCallWidgetDriver.handleMessage room_id=!jFGCYbgmpjrPGtgDqt:mertis.kz widget_id=CA3D32EC-D1D2-4D6C-8BA1-AC6A8723E577 | ElementCallWidgetDriver.swift:180 | spans: root
2026-04-22T10:03:43.088914Z  INFO elementx: [CALL-END-TRACE][SENDER-BRIDGE-ENTRY] method=ElementCallWidgetDriver.handleMessage room_id=!jFGCYbgmpjrPGtgDqt:mertis.kz widget_id=CA3D32EC-D1D2-4D6C-8BA1-AC6A8723E577 | ElementCallWidgetDriver.swift:180 | spans: root
2026-04-22T10:03:43.089193Z  INFO elementx: [CALL-END-TRACE][SENDER-BRIDGE-ENTRY] method=ElementCallWidgetDriver.handleMessage room_id=!jFGCYbgmpjrPGtgDqt:mertis.kz widget_id=CA3D32EC-D1D2-4D6C-8BA1-AC6A8723E577 | ElementCallWidgetDriver.swift:180 | spans: root
2026-04-22T10:03:43.089441Z  INFO elementx: [CALL-END-TRACE][SENDER-BRIDGE-ENTRY] method=ElementCallWidgetDriver.handleMessage room_id=!jFGCYbgmpjrPGtgDqt:mertis.kz widget_id=CA3D32EC-D1D2-4D6C-8BA1-AC6A8723E577 | ElementCallWidgetDriver.swift:180 | spans: root
2026-04-22T10:03:43.165886Z  INFO elementx: [CALL-END-TRACE][SENDER-BRIDGE-ENTRY] method=ElementCallWidgetDriver.handleMessage room_id=!jFGCYbgmpjrPGtgDqt:mertis.kz widget_id=CA3D32EC-D1D2-4D6C-8BA1-AC6A8723E577 | ElementCallWidgetDriver.swift:180 | spans: root
2026-04-22T10:03:43.165904Z  INFO elementx: [CALL-END-TRACE][SENDER-BRIDGE-ENTRY] method=ElementCallWidgetDriver.handleMessage room_id=!jFGCYbgmpjrPGtgDqt:mertis.kz widget_id=CA3D32EC-D1D2-4D6C-8BA1-AC6A8723E577 | ElementCallWidgetDriver.swift:180 | spans: root
2026-04-22T10:03:43.370279Z  INFO elementx: [CALL-END-TRACE][SENDER-BRIDGE-ENTRY] method=ElementCallWidgetDriver.handleMessage room_id=!jFGCYbgmpjrPGtgDqt:mertis.kz widget_id=CA3D32EC-D1D2-4D6C-8BA1-AC6A8723E577 | ElementCallWidgetDriver.swift:180 | spans: root
2026-04-22T10:03:43.371645Z  INFO elementx: [CALL-END-TRACE][SENDER-BRIDGE-ENTRY] method=ElementCallWidgetDriver.handleMessage room_id=!jFGCYbgmpjrPGtgDqt:mertis.kz widget_id=CA3D32EC-D1D2-4D6C-8BA1-AC6A8723E577 | ElementCallWidgetDriver.swift:180 | spans: root
2026-04-22T10:03:43.453083Z  INFO elementx: [CALL-END-TRACE][SENDER-BRIDGE-ENTRY] method=ElementCallWidgetDriver.handleMessage room_id=!jFGCYbgmpjrPGtgDqt:mertis.kz widget_id=CA3D32EC-D1D2-4D6C-8BA1-AC6A8723E577 | ElementCallWidgetDriver.swift:180 | spans: root
2026-04-22T10:03:43.453437Z  INFO elementx: [CALL-END-TRACE][SENDER-BRIDGE-ENTRY] method=ElementCallWidgetDriver.handleMessage room_id=!jFGCYbgmpjrPGtgDqt:mertis.kz widget_id=CA3D32EC-D1D2-4D6C-8BA1-AC6A8723E577 | ElementCallWidgetDriver.swift:180 | spans: root
2026-04-22T10:03:43.453463Z  INFO elementx: [CALL-END-TRACE][SENDER-BRIDGE-ENTRY] method=ElementCallWidgetDriver.handleMessage room_id=!jFGCYbgmpjrPGtgDqt:mertis.kz widget_id=CA3D32EC-D1D2-4D6C-8BA1-AC6A8723E577 | ElementCallWidgetDriver.swift:180 | spans: root
2026-04-22T10:03:43.539634Z  INFO elementx: [CALL-END-TRACE][SENDER-BRIDGE-ENTRY] method=ElementCallWidgetDriver.handleMessage room_id=!jFGCYbgmpjrPGtgDqt:mertis.kz widget_id=CA3D32EC-D1D2-4D6C-8BA1-AC6A8723E577 | ElementCallWidgetDriver.swift:180 | spans: root
2026-04-22T10:03:47.457433Z  INFO elementx: [CALL-END-TRACE][SENDER-BRIDGE-ENTRY] method=ElementCallWidgetDriver.handleMessage room_id=!jFGCYbgmpjrPGtgDqt:mertis.kz widget_id=CA3D32EC-D1D2-4D6C-8BA1-AC6A8723E577 | ElementCallWidgetDriver.swift:180 | spans: root
2026-04-22T10:03:51.527083Z  INFO elementx: [CALL-END-TRACE][SENDER-BRIDGE-ENTRY] method=ElementCallWidgetDriver.handleMessage room_id=!jFGCYbgmpjrPGtgDqt:mertis.kz widget_id=CA3D32EC-D1D2-4D6C-8BA1-AC6A8723E577 | ElementCallWidgetDriver.swift:180 | spans: root
2026-04-22T10:03:55.721738Z  INFO elementx: [CALL-END-TRACE][SENDER-BRIDGE-ENTRY] method=ElementCallWidgetDriver.handleMessage room_id=!jFGCYbgmpjrPGtgDqt:mertis.kz widget_id=CA3D32EC-D1D2-4D6C-8BA1-AC6A8723E577 | ElementCallWidgetDriver.swift:180 | spans: root
2026-04-22T10:03:59.788783Z  INFO elementx: [CALL-END-TRACE][SENDER-BRIDGE-ENTRY] method=ElementCallWidgetDriver.handleMessage room_id=!jFGCYbgmpjrPGtgDqt:mertis.kz widget_id=CA3D32EC-D1D2-4D6C-8BA1-AC6A8723E577 | ElementCallWidgetDriver.swift:180 | spans: root
2026-04-22T10:04:03.831151Z  INFO elementx: [CALL-END-TRACE][SENDER-BRIDGE-ENTRY] method=ElementCallWidgetDriver.handleMessage room_id=!jFGCYbgmpjrPGtgDqt:mertis.kz widget_id=CA3D32EC-D1D2-4D6C-8BA1-AC6A8723E577 | ElementCallWidgetDriver.swift:180 | spans: root
2026-04-22T10:04:07.905296Z  INFO elementx: [CALL-END-TRACE][SENDER-BRIDGE-ENTRY] method=ElementCallWidgetDriver.handleMessage room_id=!jFGCYbgmpjrPGtgDqt:mertis.kz widget_id=CA3D32EC-D1D2-4D6C-8BA1-AC6A8723E577 | ElementCallWidgetDriver.swift:180 | spans: root
2026-04-22T10:04:12.114650Z  INFO elementx: [CALL-END-TRACE][SENDER-BRIDGE-ENTRY] method=ElementCallWidgetDriver.handleMessage room_id=!jFGCYbgmpjrPGtgDqt:mertis.kz widget_id=CA3D32EC-D1D2-4D6C-8BA1-AC6A8723E577 | ElementCallWidgetDriver.swift:180 | spans: root
2026-04-22T10:04:12.566159Z  INFO elementx: [CALL-END-TRACE][SENDER-BRIDGE-ENTRY] method=ElementCallWidgetDriver.handleMessage room_id=!jFGCYbgmpjrPGtgDqt:mertis.kz widget_id=CA3D32EC-D1D2-4D6C-8BA1-AC6A8723E577 | ElementCallWidgetDriver.swift:180 | spans: root
2026-04-22T10:04:12.571862Z  INFO elementx: [CALL-END-TRACE][SENDER-BRIDGE-ENTRY] method=ElementCallWidgetDriver.handleMessage room_id=!jFGCYbgmpjrPGtgDqt:mertis.kz widget_id=CA3D32EC-D1D2-4D6C-8BA1-AC6A8723E577 | ElementCallWidgetDriver.swift:180 | spans: root
2026-04-22T10:04:13.104849Z  INFO elementx: [CALL-END-TRACE][SENDER-BRIDGE-ENTRY] method=ElementCallWidgetDriver.handleMessage room_id=!jFGCYbgmpjrPGtgDqt:mertis.kz widget_id=CA3D32EC-D1D2-4D6C-8BA1-AC6A8723E577 | ElementCallWidgetDriver.swift:180 | spans: root
2026-04-22T10:04:13.110994Z  INFO elementx: [CALL-END-TRACE][SENDER-BRIDGE-ENTRY] method=ElementCallWidgetDriver.handleMessage room_id=!jFGCYbgmpjrPGtgDqt:mertis.kz widget_id=CA3D32EC-D1D2-4D6C-8BA1-AC6A8723E577 | ElementCallWidgetDriver.swift:180 | spans: root
2026-04-22T10:04:13.111008Z  INFO elementx: [CALL-END-TRACE][SENDER-BRIDGE-ENTRY] method=ElementCallWidgetDriver.handleMessage room_id=!jFGCYbgmpjrPGtgDqt:mertis.kz widget_id=CA3D32EC-D1D2-4D6C-8BA1-AC6A8723E577 | ElementCallWidgetDriver.swift:180 | spans: root
2026-04-22T10:04:13.838092Z  INFO elementx: [CALL-END-TRACE][UI-COORDINATOR-CLOSED] room_id=!jFGCYbgmpjrPGtgDqt:mertis.kz local_trace_id=EDDAE33A-32E8-4E2D-A001-AB62FBC9A795 widget_id=CA3D32EC-D1D2-4D6C-8BA1-AC6A8723E577 callkit_id=unknown | CallScreenViewModel.swift:208 | spans: root
